pokemon,move
Bulbasaur,Bulldoze
Bulbasaur,Energy Ball
Bulbasaur,Giga Drain
Bulbasaur,Giga Impact
Bulbasaur,Hyper Beam
Bulbasaur,Knock Off
Bulbasaur,Mega Drain
Bulbasaur,Razor Leaf
Bulbasaur,Sludge
Bulbasaur,Sludge Bomb
Bulbasaur,Solar Beam
Bulbasaur,Tackle
Bulbasaur,Vine Whip
Ivysaur,Bulldoze
Ivysaur,Energy Ball
Ivysaur,Giga Drain
Ivysaur,Giga Impact
Ivysaur,Hyper Beam
Ivysaur,Knock Off
Ivysaur,Mega Drain
Ivysaur,Razor Leaf
Ivysaur,Sludge
Ivysaur,Sludge Bomb
Ivysaur,Solar Beam
Ivysaur,Tackle
Ivysaur,Vine Whip
Venusaur,Bulldoze
Venusaur,Earthquake
Venusaur,Energy Ball
Venusaur,Giga Drain
Venusaur,Giga Impact
Venusaur,Hyper Beam
Venusaur,Knock Off
Venusaur,Mega Drain
Venusaur,Outrage
Venusaur,Razor Leaf
Venusaur,Sludge
Venusaur,Sludge Bomb
Venusaur,Sludge Wave
Venusaur,Solar Beam
Venusaur,Stone Edge
Venusaur,Tackle
Venusaur,Vine Whip
Charmander,Air Slash
Charmander,Bulldoze
Charmander,Crunch
Charmander,Dragon Claw
Charmander,Dragon Pulse
Charmander,Dragon Rush
Charmander,Ember
Charmander,Fire Blast
Charmander,Fire Fang
Charmander,Fire Punch
Charmander,Flame Wheel
Charmander,Flamethrower
Charmander,Flare Blitz
Charmander,Focus Blast
Charmander,Heat Wave
Charmander,Hyper Beam
Charmander,Iron Tail
Charmander,Rock Slide
Charmander,Rock Tomb
Charmander,Solar Beam
Charmeleon,Aerial Ace
Charmeleon,Air Slash
Charmeleon,Bulldoze
Charmeleon,Crunch
Charmeleon,Dragon Claw
Charmeleon,Dragon Pulse
Charmeleon,Dragon Rush
Charmeleon,Ember
Charmeleon,Fire Blast
Charmeleon,Fire Fang
Charmeleon,Fire Punch
Charmeleon,Flame Wheel
Charmeleon,Flamethrower
Charmeleon,Flare Blitz
Charmeleon,Focus Blast
Charmeleon,Heat Wave
Charmeleon,Hyper Beam
Charmeleon,Iron Tail
Charmeleon,Rock Slide
Charmeleon,Rock Tomb
Charmeleon,Solar Beam
Charizard,Aerial Ace
Charizard,Air Cutter
Charizard,Air Slash
Charizard,Brick Break
Charizard,Bulldoze
Charizard,Crunch
Charizard,Dragon Claw
Charizard,Dragon Pulse
Charizard,Dragon Tail
Charizard,Earthquake
Charizard,Ember
Charizard,Fire Blast
Charizard,Fire Fang
Charizard,Fire Punch
Charizard,Flame Wheel
Charizard,Flamethrower
Charizard,Flare Blitz
Charizard,Focus Blast
Charizard,Giga Impact
Charizard,Heat Wave
Charizard,Hurricane
Charizard,Hyper Beam
Charizard,Iron Tail
Charizard,Outrage
Charizard,Rock Slide
Charizard,Rock Tomb
Charizard,Solar Beam
Charizard,Steel Beam
Charizard,Stone Edge
Charizard,Wing Attack
Squirtle,Aqua Jet
Squirtle,Aqua Tail
Squirtle,Bite
Squirtle,Blizzard
